id,key,value,type
100428342,created_by,JOSM,regular
100450964,created_by,JOSM,regular
100465515,created_by,JOSM,regular
100476239,created_by,JOSM,regular
100495197,created_by,JOSM,regular
100511306,created_by,JOSM,regular
210738427,flag,http://upload.wikimedia.org/wikipedia/commons/3/38/Bandeira_de_Fortaleza.svg,regular
210738427,name,Fortaleza,regular
210738427,is_in,"Ceará,Brazil",regular
210738427,place,city,regular
210738427,ar,فورتاليزا,name
210738427,be,Фарталеза,name
210738427,bg,Форталеза,name
210738427,bn,ফর্তালিজা,name
210738427,ce,Форталеза,name
210738427,de,Fortaleza,name
210738427,el,Φορταλέζα,name
210738427,en,Fortaleza,name
210738427,eo,Fortalezo,name
210738427,fa,فرتالیزا,name
210738427,he,פורטלזה,name
210738427,hy,Ֆորտալեզա,name
210738427,ja,フォルタレザ,name
210738427,ka,ფორტალეზა,name
210738427,kk,Форталеза,name
210738427,ko,포르탈레자,name
210738427,la,Fortalaetia,name
210738427,mk,Форталеза,name
210738427,mn,Форталеза,name
210738427,mr,फोर्तालेझा,name
210738427,os,Форталезæ,name
210738427,pl,Fortaleza,name
210738427,pt,Fortaleza,name
210738427,ru,Форталеза,name
210738427,sr,Форталеза,name
210738427,tg,Форталеза,name
210738427,th,ฟอร์ตาเลซา,name
210738427,uk,Форталеза,name
210738427,zh,福塔莱萨,name
210738427,website,http://www.fortaleza.ce.gov.br/,regular
210738427,loc_name,Fortal,regular
210738427,wikidata,Q43463,regular
210738427,wikipedia,pt:Fortaleza,regular
210738427,population,2551805,regular
210738427,state,Ceará,is_in
210738427,country,Brazil,is_in
210738427,state_capital,yes,regular
210738427,continent,South America,is_in
210738427,country_code,BR,is_in
252743193,highway,traffic_signals,regular
252743219,highway,traffic_signals,regular
252749775,highway,traffic_signals,regular
253383404,name,Ponto de Ônibus,regular
253383404,highway,bus_stop,regular
253383404,shelter,yes,regular
253390812,highway,crossing,regular
253406591,highway,traffic_signals,regular
253406605,railway,level_crossing,regular
253406607,highway,traffic_signals,regular
253406608,highway,traffic_signals,regular
253406612,highway,traffic_signals,regular
253406623,highway,traffic_signals,regular
253406628,highway,traffic_signals,regular
253406645,highway,traffic_signals,regular
253406658,highway,traffic_signals,regular
253406660,highway,traffic_signals,regular
253406661,highway,traffic_signals,regular
253406662,highway,traffic_signals,regular
253406663,highway,traffic_signals,regular
253406664,highway,traffic_signals,regular
253406665,highway,traffic_signals,regular
253406677,highway,traffic_signals,regular
253406679,highway,traffic_signals,regular
253406683,highway,traffic_signals,regular
253406686,highway,traffic_signals,regular
253406688,highway,traffic_signals,regular
253406689,highway,traffic_signals,regular
253406693,highway,traffic_signals,regular
253406694,highway,traffic_signals,regular
253406702,highway,traffic_signals,regular
253406708,highway,traffic_signals,regular
253406710,highway,traffic_signals,regular
253406711,highway,traffic_signals,regular
253406715,highway,traffic_signals,regular
253406716,highway,traffic_signals,regular
253406750,highway,traffic_signals,regular
253406753,highway,traffic_signals,regular
253406754,highway,traffic_signals,regular
253406757,highway,traffic_signals,regular
253406760,highway,traffic_signals,regular
253406764,name,Praia do Futuro,regular
253406764,tourism,hotel,regular
253406764,created_by,JOSM,regular
253412163,amenity,place_of_worship,regular
253412163,religion,christian,regular
253412163,denomination,catholic,regular
263284315,name,Manuel Sátiro,regular
263284315,subway,yes,regular
263284315,public_transport,stop_position,regular
263302800,name,Estação Carlito Benevides,regular
263302800,subway,no,regular
263302800,railway,station,regular
263302800,public_transport,station,regular
263302823,name,Estação Jereissati,regular
263302823,subway,no,regular
263302823,railway,station,regular
263302823,public_transport,station,regular
263302921,name,Padre Cícero,regular
263302921,subway,no,regular
263302921,railway,station,regular
263302921,public_transport,station,regular
263302987,railway,level_crossing,regular
263303029,amenity,place_of_worship,regular
263323076,railway,level_crossing,regular
263323110,railway,level_crossing,regular
263323113,railway,level_crossing,regular
263323156,railway,level_crossing,regular
263929433,highway,traffic_signals,regular
263929621,highway,traffic_signals,regular
263929642,highway,traffic_signals,regular
263929953,highway,traffic_signals,regular
263929960,highway,traffic_signals,regular
263929960,traffic_signals,signal,regular
263929970,railway,level_crossing,regular
263930093,railway,level_crossing,regular
263930095,railway,level_crossing,regular
263930149,railway,level_crossing,regular
263930326,highway,traffic_signals,regular
263930328,highway,traffic_signals,regular
263930332,highway,traffic_signals,regular
263930340,highway,traffic_signals,regular
263930344,highway,traffic_signals,regular
263930346,highway,traffic_signals,regular
263939489,railway,level_crossing,regular
263951105,created_by,JOSM,regular
263951107,created_by,JOSM,regular
263951110,created_by,JOSM,regular
263951114,created_by,JOSM,regular
263951115,created_by,JOSM,regular
263951127,railway,level_crossing,regular
263951132,created_by,JOSM,regular
263951133,created_by,JOSM,regular
263951136,created_by,JOSM,regular
263951137,created_by,JOSM,regular
263951140,created_by,JOSM,regular
263951143,created_by,JOSM,regular
263951144,created_by,JOSM,regular
263951155,highway,traffic_signals,regular
263951157,highway,traffic_signals,regular
263951162,highway,traffic_signals,regular
263951165,highway,traffic_signals,regular
263951192,highway,traffic_signals,regular
263973617,highway,traffic_signals,regular
263973619,highway,traffic_signals,regular
263973623,highway,traffic_signals,regular
263973626,created_by,JOSM,regular
263973628,created_by,JOSM,regular
263973634,created_by,JOSM,regular
263973640,created_by,JOSM,regular
263973643,created_by,JOSM,regular
263973645,created_by,JOSM,regular
263973647,created_by,JOSM,regular
263973650,created_by,JOSM,regular
263973652,created_by,JOSM,regular
263973655,created_by,JOSM,regular
263973657,created_by,JOSM,regular
263973659,created_by,JOSM,regular
263973661,created_by,JOSM,regular
263973664,created_by,JOSM,regular
263973667,created_by,JOSM,regular
263973669,created_by,JOSM,regular
263973671,created_by,JOSM,regular
263973673,created_by,JOSM,regular
263973675,created_by,JOSM,regular
263973681,created_by,JOSM,regular
263973682,created_by,JOSM,regular
263973685,created_by,JOSM,regular
263973688,created_by,JOSM,regular
263973691,created_by,JOSM,regular
263973694,created_by,JOSM,regular
263973697,created_by,JOSM,regular
263973699,created_by,JOSM,regular
263973702,created_by,JOSM,regular
263973703,created_by,JOSM,regular
263973706,created_by,JOSM,regular
263973707,created_by,JOSM,regular
263973710,created_by,JOSM,regular
263973714,created_by,JOSM,regular
263973715,created_by,JOSM,regular
263973718,created_by,JOSM,regular
263973721,created_by,JOSM,regular
263973722,created_by,JOSM,regular
263973724,created_by,JOSM,regular
263973727,created_by,JOSM,regular
263973730,created_by,JOSM,regular
263973731,created_by,JOSM,regular
263973734,created_by,JOSM,regular
263973735,created_by,JOSM,regular
263973762,created_by,JOSM,regular
263973769,created_by,JOSM,regular
263973786,created_by,JOSM,regular
263973789,created_by,JOSM,regular
263973792,created_by,JOSM,regular
263973794,created_by,JOSM,regular
263973797,created_by,JOSM,regular
263973798,created_by,JOSM,regular
263973801,created_by,JOSM,regular
263973802,created_by,JOSM,regular
263973805,created_by,JOSM,regular
263973808,created_by,JOSM,regular
263973810,created_by,JOSM,regular
263973812,created_by,JOSM,regular
263973814,created_by,JOSM,regular
263973817,created_by,JOSM,regular
263981972,created_by,JOSM,regular
263981973,created_by,JOSM,regular
263981974,created_by,JOSM,regular
263981975,created_by,JOSM,regular
263981976,created_by,JOSM,regular
263981977,created_by,JOSM,regular
263981980,created_by,JOSM,regular
263981981,created_by,JOSM,regular
263981982,created_by,JOSM,regular
263981983,created_by,JOSM,regular
263981984,created_by,JOSM,regular
263981985,created_by,JOSM,regular
263981987,created_by,JOSM,regular
263981988,created_by,JOSM,regular
263981989,created_by,JOSM,regular
263981990,created_by,JOSM,regular
263981992,created_by,JOSM,regular
263981993,created_by,JOSM,regular
263981996,name,Caucaia,regular
263981996,train,yes,regular
263981996,public_transport,stop_position,regular
263982000,railway,level_crossing,regular
263982079,created_by,JOSM,regular
263982080,created_by,JOSM,regular
263984672,created_by,JOSM,regular
263984673,created_by,JOSM,regular
263984674,created_by,JOSM,regular
263984675,created_by,JOSM,regular
263984676,created_by,JOSM,regular
263984677,created_by,JOSM,regular
263986708,created_by,JOSM,regular
263986709,created_by,JOSM,regular
263986710,created_by,JOSM,regular
263986711,created_by,JOSM,regular
263987095,created_by,JOSM,regular
263987096,created_by,JOSM,regular
263987097,created_by,JOSM,regular
263987098,created_by,JOSM,regular
263987099,created_by,JOSM,regular
263987100,created_by,JOSM,regular
263987101,created_by,JOSM,regular
263987102,created_by,JOSM,regular
263987103,created_by,JOSM,regular
263987104,created_by,JOSM,regular
263987105,created_by,JOSM,regular
263987106,created_by,JOSM,regular
263987108,created_by,JOSM,regular
263987109,created_by,JOSM,regular
263987111,created_by,JOSM,regular
263987112,created_by,JOSM,regular
263987113,created_by,JOSM,regular
264714766,name,Centro,regular
264714766,is_in,"Fortaleza,Ceará,Brazil",regular
264714766,place,suburb,regular
264714766,en,Centre,name
264714775,name,Aldeota,regular
264714775,is_in,"Fortaleza,Ceará,Brazil",regular
264714775,place,suburb,regular
264714778,name,Joaquim Távora,regular
264714778,is_in,"Fortaleza,Ceará,Brazil",regular
264714778,place,suburb,regular
264714778,wikipedia,pt:Joaquim Távora (Fortaleza),regular
264714778,population,23450,regular
264719174,is_in,"Fortaleza,Ceará,Brazil",regular
264719174,name,Dionísio Torres,regular
264719174,place,suburb,regular
264719174,population,15634,regular
264719183,name,Varjota,regular
264719183,is_in,"Fortaleza,Ceará,Brazil",regular
264719183,place,suburb,regular
264719188,name,Mucuripe,regular
264719188,is_in,"Fortaleza,Ceará,Brazil",regular
264719188,place,suburb,regular
264719196,name,Cidade 2000,regular
264719196,is_in,"Fortaleza,Ceará,Brazil",regular
264719196,place,suburb,regular
264719196,wikipedia,pt:Cidade 2000 (Fortaleza),regular
264719196,population,8272,regular
264719315,created_by,JOSM,regular
264719316,created_by,JOSM,regular
264719317,created_by,JOSM,regular
264719318,created_by,JOSM,regular
264719319,created_by,JOSM,regular
264719320,created_by,JOSM,regular
264719321,created_by,JOSM,regular
264719322,created_by,JOSM,regular
264719323,created_by,JOSM,regular
264719324,created_by,JOSM,regular
264719325,created_by,JOSM,regular
264719326,created_by,JOSM,regular
264719327,created_by,JOSM,regular
264719328,created_by,JOSM,regular
264719329,created_by,JOSM,regular
264719330,created_by,JOSM,regular
264719331,created_by,JOSM,regular
264719332,created_by,JOSM,regular
264719333,created_by,JOSM,regular
264719334,created_by,JOSM,regular
264719335,created_by,JOSM,regular
264719336,created_by,JOSM,regular
264719337,created_by,JOSM,regular
264719338,created_by,JOSM,regular
264719339,created_by,JOSM,regular
264719340,created_by,JOSM,regular
264719341,created_by,JOSM,regular
264719342,created_by,JOSM,regular
264719343,created_by,JOSM,regular
264719344,created_by,JOSM,regular
264719345,created_by,JOSM,regular
264719346,created_by,JOSM,regular
264719348,created_by,JOSM,regular
264734646,name,Edson Queiroz,regular
264734646,is_in,"Fortaleza,Ceará,Brazil",regular
264734646,place,suburb,regular
264734646,wikipedia,pt:Edson Queiroz (Fortaleza),regular
264734649,name,Jardim das Oliveiras,regular
264734649,is_in,"Fortaleza,Ceará,Brazil",regular
264734649,place,suburb,regular
264734651,name,Vila União,regular
264734651,is_in,"Fortaleza,Ceará,Brazil",regular
264734651,place,suburb,regular
264734655,name,Alto da Balança,regular
264734655,is_in,"Fortaleza,Ceará,Brazil",regular
264734655,place,suburb,regular
264734657,name,São João do Tauape,regular
264734657,is_in,"Fortaleza,Ceará,Brazil",regular
264734657,place,suburb,regular
264734657,wikipedia,pt:São João do Tauape (Fortaleza),regular
264734659,name,Serrinha,regular
264734659,is_in,"Fortaleza,Ceará,Brazil",regular
264734659,place,suburb,regular
264734659,wikipedia,pt:Bairro Serrinha (Fortaleza),regular
264734661,name,Itaóca,regular
264734661,is_in,"Fortaleza,Ceará,Brazil",regular
264734661,place,suburb,regular
264734665,name,Bairro de Fátima,regular
264734665,is_in,"Fortaleza,Ceará,Brazil",regular
264734665,place,suburb,regular
264734665,wikipedia,pt:Bairro de Fátima (Fortaleza),regular
264734665,population,23309,regular
264734667,name,Jardim América,regular
264734667,is_in,"Fortaleza,Ceará,Brazil",regular
264734667,place,suburb,regular
264734667,wikipedia,pt:Jardim América (Fortaleza),regular
264734667,population,12264,regular
264734669,name,Damas,regular
264734669,is_in,"Fortaleza,Ceará,Brazil",regular
264734669,place,suburb,regular
264734675,name,Montese,regular
264734675,is_in,"Fortaleza,Ceará,Brazil",regular
264734675,place,suburb,regular
264734677,name,Rodolfo Teófilo,regular
264734677,is_in,"Fortaleza,Ceará,Brazil",regular
264734677,place,suburb,regular
264734677,wikipedia,pt:Rodolfo Teófilo (Fortaleza),regular
264734677,population,19114,regular
264734680,name,Jacarecanga,regular
264734680,is_in,"Fortaleza,Ceará,Brazil",regular
264734680,place,suburb,regular
264734682,name,Farias Brito,regular
264734682,is_in,"Fortaleza,Ceará,Brazil",regular
264734682,place,suburb,regular
264734685,name,Monte Castelo,regular
264734685,is_in,"Fortaleza,Ceará,Brazil",regular
264734685,place,suburb,regular
264734689,name,Parque Araxa,regular
264734689,is_in,"Fortaleza,Ceará,Brazil",regular
264734689,place,suburb,regular
264770314,highway,traffic_signals,regular
264770316,highway,traffic_signals,regular
264770318,highway,traffic_signals,regular
264770319,highway,traffic_signals,regular
264770320,highway,traffic_signals,regular
264770326,highway,traffic_signals,regular
264770327,highway,traffic_signals,regular
264770328,highway,traffic_signals,regular
264770329,highway,traffic_signals,regular
264770371,highway,mini_roundabout,regular
264770467,highway,traffic_signals,regular
264770469,highway,traffic_signals,regular
264770476,highway,traffic_signals,regular
264770525,highway,traffic_signals,regular
264770529,highway,traffic_signals,regular
264770530,highway,traffic_signals,regular
264770531,highway,traffic_signals,regular
264770537,highway,traffic_signals,regular
264770538,highway,traffic_signals,regular
264770539,highway,traffic_signals,regular
264770559,highway,traffic_signals,regular
264770565,highway,traffic_signals,regular
264770573,highway,traffic_signals,regular
264770574,highway,traffic_signals,regular
264770576,highway,traffic_signals,regular
264770581,highway,traffic_signals,regular
264770581,traffic_signals,signal,regular
264770588,highway,traffic_signals,regular
264770617,highway,traffic_signals,regular
264770618,highway,traffic_signals,regular
264770621,highway,traffic_signals,regular
264770623,highway,traffic_signals,regular
264770713,highway,traffic_signals,regular
264770716,highway,traffic_signals,regular
264770727,highway,traffic_signals,regular
264770734,highway,traffic_signals,regular
264770735,highway,traffic_signals,regular
264770750,highway,traffic_signals,regular
264770756,highway,traffic_signals,regular
264770789,highway,traffic_signals,regular
264770806,highway,traffic_signals,regular
264770828,highway,traffic_signals,regular
264770830,highway,traffic_signals,regular
264770833,highway,traffic_signals,regular
264770835,highway,traffic_signals,regular
264770836,highway,traffic_signals,regular
264770844,highway,traffic_signals,regular
264770846,highway,traffic_signals,regular
264770849,highway,traffic_signals,regular
264770851,highway,traffic_signals,regular
264770866,highway,traffic_signals,regular
264770939,highway,traffic_signals,regular
264770941,highway,traffic_signals,regular
264770942,highway,traffic_signals,regular
264770944,highway,traffic_signals,regular
264770950,highway,traffic_signals,regular
264771040,highway,traffic_signals,regular
264771045,highway,traffic_signals,regular
264771047,highway,traffic_signals,regular
264771052,highway,traffic_signals,regular
264771053,highway,traffic_signals,regular
264771055,highway,traffic_signals,regular
264771085,highway,traffic_signals,regular
264771089,highway,traffic_signals,regular
264771090,highway,traffic_signals,regular
264771097,highway,traffic_signals,regular
264771099,highway,traffic_signals,regular
264771100,note,TODO: do the ways cross or is this a bridge,regular
264771100,highway,traffic_signals,regular
264771102,highway,traffic_signals,regular
264771104,highway,traffic_signals,regular
264771106,highway,traffic_signals,regular
264771107,highway,traffic_signals,regular
264771110,highway,traffic_signals,regular
264898886,highway,traffic_signals,regular
264898889,highway,traffic_signals,regular
264898890,highway,traffic_signals,regular
264898893,highway,traffic_signals,regular
264898896,highway,traffic_signals,regular
264898897,highway,traffic_signals,regular
264898902,highway,traffic_signals,regular
264898906,highway,traffic_signals,regular
264898907,highway,traffic_signals,regular
264898908,highway,traffic_signals,regular
264898909,highway,traffic_signals,regular
264898910,highway,traffic_signals,regular
264898911,highway,traffic_signals,regular
264898912,highway,traffic_signals,regular
264898913,highway,traffic_signals,regular
264898914,highway,traffic_signals,regular
264898915,highway,traffic_signals,regular
264898923,highway,traffic_signals,regular
264898924,highway,traffic_signals,regular
264898928,highway,traffic_signals,regular
264898932,highway,traffic_signals,regular
264898933,highway,traffic_signals,regular
264898936,highway,traffic_signals,regular
264898950,highway,traffic_signals,regular
264898953,highway,traffic_signals,regular
264898968,highway,traffic_signals,regular
264898969,highway,traffic_signals,regular
264898971,highway,traffic_signals,regular
264898974,highway,traffic_signals,regular
264898979,highway,traffic_signals,regular
264898980,highway,traffic_signals,regular
264898983,highway,traffic_signals,regular
264898987,highway,traffic_signals,regular
264898998,highway,traffic_signals,regular
264899000,highway,traffic_signals,regular
264899009,highway,traffic_signals,regular
264899011,highway,traffic_signals,regular
264899016,highway,traffic_signals,regular
264899023,highway,traffic_signals,regular
264899024,highway,traffic_signals,regular
264899030,highway,traffic_signals,regular
264899031,highway,traffic_signals,regular
264899031,traffic_signals,signal,regular
264899035,highway,traffic_signals,regular
264899050,highway,traffic_signals,regular
264899066,highway,traffic_signals,regular
264899071,highway,traffic_signals,regular
264899072,highway,traffic_signals,regular
264899081,highway,traffic_signals,regular
264899082,highway,traffic_signals,regular
264899099,highway,traffic_signals,regular
264899100,highway,traffic_signals,regular
264899101,highway,traffic_signals,regular
264899103,highway,traffic_signals,regular
264900241,highway,traffic_signals,regular
264900245,highway,traffic_signals,regular
264900305,highway,traffic_signals,regular
264900314,highway,traffic_signals,regular
264900316,highway,traffic_signals,regular
264900319,highway,traffic_signals,regular
264900327,highway,traffic_signals,regular
264943443,highway,traffic_signals,regular
264943525,highway,traffic_signals,regular
264943558,highway,traffic_signals,regular
