id,key,value,type
11303991,place,islet,regular
11303991,source,Bing,regular
11303991,natural,coastline,regular
11304105,source,PGS,regular
11304105,natural,coastline,regular
11304105,converted_by,mikes,regular
11304710,source,Bing,regular
11304710,natural,water,regular
11304791,source,PGS,regular
11304791,man_made,pier,regular
23332034,ref,CE-060,regular
23332034,name,Rodovia Doutor Mendel Steinbruch,regular
23332034,oneway,yes,regular
23332034,highway,primary,regular
23340440,highway,primary,regular
23340440,name,Avenida Doutor Mendel Steinbruch,regular
23340440,oneway,yes,regular
23341171,highway,primary,regular
23341171,name,Avenida Radialista João Ramos,regular
23341171,oneway,yes,regular
23341174,highway,primary,regular
23341174,name,Avenida Bernardo Manuel,regular
23341174,oneway,yes,regular
23403277,oneway,yes,regular
23403277,highway,primary_link,regular
23403278,oneway,yes,regular
23403278,highway,service,regular
23404084,name,Avenida Senador Carlos Jereissati,regular
23404084,layer,1,regular
23404084,oneway,yes,regular
23404084,highway,primary,regular
23404084,right,track,cycleway
23404084,bicycle,no,oneway
23404094,bridge,yes,regular
23404094,highway,primary,regular
23404094,layer,1,regular
23404094,name,Avenida Governador Raul Barbosa,regular
23404094,oneway,yes,regular
23404097,oneway,yes,regular
23404097,highway,primary_link,regular
23404098,oneway,yes,regular
23404098,highway,primary_link,regular
23404101,oneway,yes,regular
23404101,highway,primary_link,regular
23404104,lanes,2,regular
23404104,oneway,yes,regular
23404104,highway,primary_link,regular
23404104,surface,asphalt,regular
23404107,name,Rodovia BR-116 - Pista Lateral,regular
23404107,lanes,2,regular
23404107,oneway,yes,regular
23404107,highway,primary,regular
23404107,surface,asphalt,regular
23404110,name,Rua Adolfo Quixadá,regular
23404110,highway,residential,regular
23404111,oneway,yes,regular
23404111,highway,primary_link,regular
23404112,oneway,yes,regular
23404112,highway,primary_link,regular
23404114,oneway,yes,regular
23404114,highway,primary_link,regular
23404115,oneway,yes,regular
23404115,highway,primary_link,regular
23405813,name,Rua Interna,regular
23405813,highway,tertiary,regular
23405817,name,Rodovia Santos Dumont,regular
23405817,lanes,3,regular
23405817,layer,1,regular
23405817,bridge,yes,regular
23405817,oneway,yes,regular
23405817,highway,motorway,regular
23405817,surface,asphalt,regular
23405819,foot,yes,regular
23405819,highway,motorway,regular
23405819,lanes,3,regular
23405819,name,Rodovia Santos Dumont,regular
23405819,oneway,yes,regular
23405819,surface,asphalt,regular
23405820,name,Rodovia Santos Dumont,regular
23405820,lanes,3,regular
23405820,layer,1,regular
23405820,bridge,yes,regular
23405820,oneway,yes,regular
23405820,highway,motorway,regular
23405820,surface,asphalt,regular
23405821,oneway,yes,regular
23405821,highway,motorway_link,regular
23405822,layer,1,regular
23405822,bridge,yes,regular
23405822,oneway,yes,regular
23405822,highway,motorway_link,regular
23405824,layer,1,regular
23405824,bridge,yes,regular
23405824,oneway,yes,regular
23405824,highway,motorway_link,regular
23405826,highway,motorway,regular
23405826,lanes,3,regular
23405826,maxspeed,110,regular
23405826,name,Rodovia Santos Dumont,regular
23405826,oneway,yes,regular
23405826,surface,asphalt,regular
23405830,name,Avenida Aguanambi,regular
23405830,oneway,yes,regular
23405830,highway,primary,regular
23405831,name,Avenida Aguanambi,regular
23405831,oneway,yes,regular
23405831,highway,primary,regular
23405833,name,Rua Abaiara,regular
23405833,oneway,yes,regular
23405833,highway,residential,regular
23405835,name,Rua Deputado Oswaldo Studart,regular
23405835,oneway,yes,regular
23405835,highway,secondary,regular
23405838,highway,primary,regular
23405838,maxspeed,60,regular
23405838,name,Avenida Jovita Feitosa,regular
23405838,oneway,yes,regular
23405838,maxspeed,sign,source
23405838,surface,asphalt,regular
23405839,highway,primary,regular
23405839,lanes,2,regular
23405839,maxspeed,60,regular
23405839,name,Avenida Pontes Vieira,regular
23405839,oneway,yes,regular
23405839,maxspeed,sign,source
23405839,surface,asphalt,regular
23405842,bridge,yes,regular
23405842,highway,primary,regular
23405842,layer,1,regular
23405842,maxheight,4.4,regular
23405842,maxlength,6.5,regular
23405842,maxspeed,60,regular
23405842,maxwidth,2.2,regular
23405842,name,Avenida 13 de Maio,regular
23405842,oneway,yes,regular
23405842,maxspeed,sign,source
23405842,surface,asphalt,regular
23405843,bridge,yes,regular
23405843,highway,primary,regular
23405843,layer,1,regular
23405843,maxheight,4.4,regular
23405843,maxlength,6.5,regular
23405843,maxspeed,60,regular
23405843,maxwidth,2.2,regular
23405843,name,Avenida 13 de Maio,regular
23405843,oneway,yes,regular
23405843,maxspeed,sign,source
23405843,surface,asphalt,regular
23405845,highway,primary,regular
23405845,maxspeed,60,regular
23405845,name,Avenida Barão de Studart,regular
23405845,oneway,yes,regular
23405845,maxspeed,sign,source
23405845,surface,asphalt,regular
23405846,name,Avenida Santos Dumont,regular
23405846,oneway,yes,regular
23405846,highway,primary,regular
23405848,highway,primary,regular
23405848,name,Avenida Dioguinho,regular
23405848,oneway,yes,regular
23405850,oneway,yes,regular
23405850,highway,primary_link,regular
23405851,highway,primary_link,regular
23405851,oneway,yes,regular
23405852,highway,primary_link,regular
23405852,oneway,yes,regular
23405853,highway,primary_link,regular
23405853,oneway,yes,regular
23406493,name,Rua José Euclides,regular
23406493,highway,residential,regular
23406494,highway,primary,regular
23406494,maxspeed,60,regular
23406494,name,Avenida Aguanambi,regular
23406494,oneway,yes,regular
23406494,maxspeed,sign,source
23406494,surface,asphalt,regular
23406496,highway,primary,regular
23406496,maxheight,4.4,regular
23406496,maxlength,6.5,regular
23406496,maxspeed,60,regular
23406496,maxwidth,2.2,regular
23406496,name,Avenida 13 de Maio,regular
23406496,oneway,yes,regular
23406496,maxspeed,sign,source
23406496,surface,asphalt,regular
23406498,name,Rua José Euclides,regular
23406498,oneway,yes,regular
23406498,highway,residential,regular
23406499,name,Rua Juvenal Carvalho,regular
23406499,highway,residential,regular
23406500,layer,1,regular
23406500,bridge,yes,regular
23406500,oneway,yes,regular
23406500,highway,residential,regular
23406501,highway,tertiary,regular
23406501,name,Rua Dom Sebastião Leme,regular
23406501,oneway,yes,regular
23406502,highway,primary_link,regular
23406502,name,Avenida 13 de Maio,regular
23406502,oneway,yes,regular
23406502,surface,asphalt,regular
23406503,highway,primary_link,regular
23406503,name,Avenida 13 de Maio,regular
23406503,oneway,yes,regular
23406503,surface,asphalt,regular
23406504,highway,residential,regular
23406504,name,Rua Bonfim Sobrinho,regular
23406504,oneway,yes,regular
23406504,surface,asphalt,regular
23406507,oneway,yes,regular
23406507,highway,motorway_link,regular
24302331,natural,water,regular
24302332,water,wastewater,regular
24302332,source,image (Yahoo),regular
24302332,natural,water,regular
24302332,operator,CAGECE,regular
24302333,water,wastewater,regular
24302333,source,image (Yahoo),regular
24302333,natural,water,regular
24302333,operator,CAGECE,regular
24302334,water,wastewater,regular
24302334,source,image (Yahoo),regular
24302334,natural,water,regular
24302334,operator,CAGECE,regular
24302336,source,image (Yahoo),regular
24302336,waterway,stream,regular
24302337,landuse,reservoir,regular
24302341,name,Lagoa da Viúva,regular
24302341,water,lake,regular
24302341,source,image (Yahoo),regular
24302341,natural,water,regular
24302343,source,image (Yahoo),regular
24302343,waterway,stream,regular
24302348,waterway,river,regular
24302358,water,lake,regular
24302358,source,image (Yahoo),regular
24302358,natural,water,regular
24302360,gauge,1000,regular
24302360,layer,1,regular
24302360,tracks,1,regular
24302360,railway,light_rail,regular
24302360,electrified,contact_line,regular
24302360,preferred_direction,forward,railway
24302361,gauge,1000,regular
24302361,tracks,1,regular
